,Q1,Q2,Q3,Q4,2018
3992,12.0,6.0,6.0,11.0,
3993,3.0,0.0,0.0,1.0,
3994,5.0,1.0,2.0,2.0,
3995,67.0,41.0,40.0,34.0,
3996,133.0,68.0,63.0,66.0,
3997,10.0,6.0,5.0,3.0,
3998,19.0,9.0,9.0,8.0,
3999,42.0,27.0,24.0,24.0,
4000,92.0,46.0,45.0,49.0,
4001,16.0,12.0,13.0,12.0,
4002,33.0,19.0,21.0,23.0,
4003,23.0,12.0,20.0,16.0,
4004,63.0,30.0,42.0,34.0,
4005,9.0,5.0,3.0,5.0,
4006,19.0,9.0,9.0,11.0,
4007,55.0,33.0,32.0,30.0,
4008,141.0,71.0,69.0,78.0,
4009,16.0,9.0,9.0,8.0,
4010,44.0,21.0,16.0,20.0,
4011,60.0,35.0,40.0,40.0,
4012,150.0,74.0,75.0,85.0,
4013,36.0,18.0,18.0,16.0,
4014,65.0,32.0,29.0,31.0,
4015,9.0,5.0,7.0,8.0,
4016,28.0,12.0,14.0,19.0,
4017,43.0,23.0,29.0,25.0,
4018,89.0,43.0,44.0,46.0,
4019,2.0,1.0,1.0,3.0,
4020,4.0,3.0,2.0,3.0,
4021,25.0,15.0,16.0,15.0,
4022,44.0,28.0,26.0,29.0,
4023,15.0,8.0,10.0,12.0,
4024,52.0,29.0,33.0,32.0,
4025,4.0,1.0,1.0,1.0,
4026,7.0,3.0,3.0,4.0,
4027,2.0,1.0,1.0,0.0,
4028,6.0,2.0,2.0,2.0,
4029,11.0,6.0,5.0,6.0,
4030,26.0,13.0,13.0,14.0,
4031,7.0,3.0,1.0,2.0,
4032,24.0,7.0,4.0,6.0,
4033,7.0,4.0,4.0,4.0,
4034,16.0,10.0,9.0,8.0,
4035,16.0,3.0,1.0,0.0,
4036,29.0,4.0,0.0,0.0,
4037,17.0,11.0,9.0,10.0,
4038,39.0,19.0,19.0,20.0,
4039,26.0,14.0,16.0,15.0,
4040,47.0,23.0,25.0,31.0,
4041,52.0,32.0,34.0,31.0,
4042,150.0,70.0,78.0,92.0,
4043,71.0,42.0,42.0,48.0,
4044,123.0,66.0,60.0,70.0,
4045,1.0,1.0,1.0,1.0,
4046,4.0,4.0,2.0,3.0,
4047,26.0,14.0,19.0,13.0,
4048,84.0,40.0,53.0,42.0,
4049,13.0,8.0,9.0,8.0,
4050,40.0,20.0,17.0,21.0,
4051,4.0,3.0,8.0,8.0,
4052,4.0,5.0,8.0,10.0,
4053,6.0,3.0,2.0,2.0,
4054,15.0,7.0,7.0,8.0,
4055,2.0,5.0,6.0,5.0,
4056,4.0,20.0,25.0,25.0,
4057,4.0,1.0,2.0,2.0,
4058,7.0,3.0,4.0,5.0,
4059,8.0,4.0,2.0,0.0,
4060,11.0,7.0,2.0,0.0,
4077,4.0,2.0,3.0,3.0,
4078,9.0,4.0,5.0,7.0,
4079,128.0,83.0,95.0,84.0,
4080,187.0,99.0,111.0,126.0,
4081,15.0,9.0,12.0,12.0,
4082,27.0,14.0,17.0,18.0,
4083,9.0,3.0,3.0,2.0,
4084,14.0,4.0,5.0,7.0,
4085,0.0,,0.0,0.0,
4086,0.0,0.0,0.0,0.0,
4087,26.0,11.0,14.0,15.0,
4088,42.0,16.0,19.0,22.0,
4089,16.0,9.0,15.0,12.0,
4090,15.0,7.0,7.0,8.0,
4091,25.0,14.0,14.0,14.0,
