,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
159,9145,N GILBERT RD & E LOCKWOOD ST,2224 N ASHBROOK CIR,Mesa,85213,Mesa,Weekday,,,,0,,0,0,0,,0,0,,0
160,2885,GILBERT RD & ADOBE ST,815 N GILBERT RD,Mesa,85203,Mesa,Weekend,,,,,,0,0,,0,,0,,0
161,2885,GILBERT RD & ADOBE ST,815 N GILBERT RD,Mesa,85203,Mesa,Weekday,0,0,0,0,0,0,1,1,0,0,0,0,0
162,5097,GILBERT RD & SOUTHERN AVE,1945 E SOUTHERN AVE,Mesa,85204,Mesa,Weekend,9,9,8,7,5,7,9,14,7,7,10,9,10
163,5097,GILBERT RD & SOUTHERN AVE,1945 E SOUTHERN AVE,Mesa,85204,Mesa,Weekday,37,37,38,52,33,39,44,67,36,42,52,47,43
164,9090,POWER RD PARK AND RIDE,3033 N SILVERADO,Scottsdale,85215,Mesa,Weekend,3,3,3,2,2,3,9,5,3,4,3,16,10
165,9090,POWER RD PARK AND RIDE,3033 N SILVERADO,Scottsdale,85215,Mesa,Weekday,85,85,88,102,67,104,98,165,82,138,91,95,106
166,3368,GILBERT RD & SOUTHERN AVE,2025 E SOUTHERN AVE,Mesa,85204,Mesa,Weekend,8,8,7,7,5,7,8,16,8,8,8,9,9
167,3368,GILBERT RD & SOUTHERN AVE,2025 E SOUTHERN AVE,Mesa,85204,Mesa,Weekday,42,42,43,51,32,48,53,81,46,50,61,58,49
168,5222,POWER RD & HAMPTON AVE,1350 S POWER RD,Mesa,85206,Mesa,Weekend,9,9,8,2,1,2,3,5,2,5,2,2,3
169,5222,POWER RD & HAMPTON AVE,1350 S POWER RD,Mesa,85206,Mesa,Weekday,5,5,5,3,2,4,8,10,9,11,8,5,16
170,4600,GILBERT RD & DECATUR ST,1959 E DECATUR ST,Mesa,85203,Mesa,Weekend,1,1,1,1,1,0,0,1,0,0,0,1,1
171,4600,GILBERT RD & DECATUR ST,1959 E DECATUR ST,Mesa,85203,Mesa,Weekday,5,5,5,5,2,5,4,5,2,2,3,2,4
