Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
5477,-112.1086496,33.7011632,20004,23rd Av & Pinnacle Peak Rd,Phoenix,Standard,-112.1086496,33.7011632,AZ, , , ,978,1,265.6279,,AggieReverseGeocoder,,4.01,21005016,2222 W PINNACLE PEAK RD,Cave Creek,AZ,85027,1231
5478,-112.1089097,33.70753737,20006,23rd Av & Questa Dr,Phoenix,Standard,-112.1089097,33.70753737,AZ, , , ,979,1,109.3735,,AggieReverseGeocoder,,4.01,21005931A,24250 N 23RD AVE,Phoenix,AZ,85085,1996
5479,-112.1086288,33.70799406,20005,23rd Av & Questa Dr,Phoenix,Standard,-112.1086288,33.70799406,AZ, , , ,980,1,343.7502,,AggieReverseGeocoder,,4.01,21005931A,24250 N 23RD AVE,Phoenix,AZ,85085,1996
5480,-112.228558,33.478647,2014,Desert Sky TC,Phoenix,,-112.228558,33.478647,AZ, , , ,981,1,687.5018,,AggieReverseGeocoder,,4.01,10238001G,7829 W THOMAS RD,Cave Creek,AZ,85033,5442
5481,-111.985142,33.523489,3590,44th St & McDonald Dr,Phoenix,,-111.985142,33.523489,AZ, , , ,982,1,437.5019,,AggieReverseGeocoder,,4.01,17116081,5823 N 45TH ST,Maricopa,AZ,85018,1229
5482,-112.151676,33.5545,4093,43rd Av & Royal Palm Rd,Phoenix,,-112.151676,33.5545,AZ, , , ,983,1,687.5003,,AggieReverseGeocoder,,4.01,14811001W,8040 N 43RD AVE,Glendale,AZ,85302,6601
5483,-111.925946,33.61579,4737,Scottsdale Rd & Evans Dr,Phoenix,,-111.925946,33.61579,AZ, , , ,984,1,578.1266,,AggieReverseGeocoder,,4.01,21557002P,14224 N SCOTTSDALE RD,Phoenix,AZ,85254,4083
5484,-111.960961,33.419866,7650,Priest Dr & Elna Rae St,Tempe,,-111.960961,33.419866,AZ, , , ,985,1,359.3745,,AggieReverseGeocoder,,4.01,12460048,900 S PRIEST DR,Mesa,AZ,85281,5233
5485,-112.1170352,33.65213371,8158,27th Av & Villa Maria Dr,Phoenix,,-112.1170352,33.65213371,AZ, , , ,986,1,1000.0024,,AggieReverseGeocoder,,4.01,20805002F,18225 N 27TH AVE,Phoenix,AZ,85053,1128
5486,-111.929994,33.622494,8232,Greenway Pkwy & Kierland Bl,Phoenix,,-111.929994,33.622494,AZ, , , ,987,1,0,,AggieReverseGeocoder,,4.01,21558012,7025 E GREENWAY PKWY,Phoenix,AZ,85254,2159
5487,-112.098853,33.589283,10231,Cholla St & 19th Av (Flag Zone),Phoenix,,-112.098853,33.589283,AZ, , , ,988,1,984.3765,,AggieReverseGeocoder,,4.01,15912030,11235 N 19TH AVE,Glendale,AZ,85029,4820
5488,-112.050246,33.576629,10258,Cinnabar Av & 15th St (Flag Zone),Phoenix,,-112.050246,33.576629,AZ, , , ,989,1,656.2544,,AggieReverseGeocoder,,4.01,15929026C,1447 E CINNABAR AVE,Phoenix,AZ,85020,1819
5489,-112.071478,33.562889,10280,Sunnyslope Manor (Flag Zone),Phoenix,,-112.071478,33.562889,AZ, , , ,990,1,265.6248,,AggieReverseGeocoder,,4.01,16051091A,205 E RUTH AVE,Phoenix,AZ,85020,3152
5490,-112.0137211,33.61163235,20053,Thunderbird Rd & 32nd St,Phoenix,,-112.0137211,33.61163235,AZ, , , ,991,1,656.2519,,AggieReverseGeocoder,,4.01,21455008D,13802 N 32ND ST,Phoenix,AZ,85032,5637
5491,-111.934687,33.458298,30337,Continental Dr & College Av,Tempe,,-111.934687,33.458298,AZ, , , ,992,1,671.8824,,AggieReverseGeocoder,,4.01,12915020,301 E CONTINENTAL DR,Mesa,AZ,85281,1055
5492,-111.897903,33.403936,99601,Connolly Middle School,Tempe,,-111.897903,33.403936,AZ, , , ,993,1,843.75,,AggieReverseGeocoder,,4.01,13334687,2076 E ASPEN DR,Tempe,AZ,85282,2909
5493,-111.930488,33.413424,30348,S. McAllister,Tempe,Standard,-111.930488,33.413424,AZ, , , ,994,1,625.003,,AggieReverseGeocoder,,4.01,13314038,341 E 14TH ST,Mesa,AZ,85281,6708
5494,-111.9280313,33.41462038,30346,E. Apache Blvd & Rural Rd.,Tempe,Standard,-111.9280313,33.41462038,AZ, , , ,995,1,593.7521,,AggieReverseGeocoder,,4.01,13313015A,1318 S SUNSET DR,Mesa,AZ,85281,6813
5495,-111.9264867,33.41294447,30347,E. Spence Ave & S. Rural Rd.,Tempe,Standard,-111.9264867,33.41294447,AZ, , , ,996,1,609.376,,AggieReverseGeocoder,,4.01,13313002,1346 S RURAL RD,Mesa,AZ,85281,6802
