,Unnamed: 0,X,Y,StopID,Location,Juris,Type_,Long,Lat,Zipcode,City,Street Address
517,1278,-111.926458652765,33.4240107089818,5260.0,RURAL RD & 6TH ST,Tempe,Standard,-111.926458652765,33.4240107089818, , , 
518,1279,-111.926478572801,33.418279680962,5287.0,RURAL RD & TERRACE RD,Tempe,Standard,-111.926478572801,33.418279680962, , , 
519,1280,-111.92644535479499,33.4151340129922,5263.0,RURAL RD & APACHE BLVD,Tempe,Standard,-111.92644535479499,33.4151340129922, , , 
520,1281,-111.92644295009,33.4126728225319,5258.0,RURAL RD & SPENCE AVE,Tempe,Standard,-111.92644295009,33.4126728225319, , , 
521,1282,-111.926414647957,33.4102299477153,9468.0,RURAL RD & BROADWAY RD,Tempe,Standard,-111.926414647957,33.4102299477153, , , 
522,1283,-111.926438703804,33.4079937897844,5267.0,RURAL RD & BROADWAY RD,Tempe,Standard,-111.926438703804,33.4079937897844, , , 
523,1284,-111.926453011332,33.403157571594804,5266.0,RURAL RD & BROADMOR DR,Tempe,Standard,-111.926453011332,33.403157571594804, , , 
524,1285,-111.926459672463,33.3996784164012,5261.0,RURAL RD & ALAMEDA DR,Tempe,Standard,-111.926459672463,33.3996784164012, , , 
525,1286,-111.92646988567101,33.397431920353,5291.0,RURAL RD & WESLEYAN DR,Tempe,Standard,-111.92646988567101,33.397431920353, , , 
526,1287,-111.92647411230499,33.3948357120203,5275.0,RURAL RD & GENEVA DR,Tempe,Standard,-111.92647411230499,33.3948357120203, , , 
527,1288,-111.926546896227,33.3924469356054,5284.0,RURAL RD & SOUTHERN AVE,Tempe,Standard,-111.926546896227,33.3924469356054, , , 
528,1289,-111.92656603360399,33.38922383129289,5278.0,RURAL RD & LA JOLLA DR,Tempe,Standard,-111.92656603360399,33.38922383129289, , , 
529,1290,-111.926594747257,33.3874434234843,5277.0,RURAL RD & HERMOSA DR,Tempe,Standard,-111.926594747257,33.3874434234843, , , 
530,1291,-111.926697617792,33.3843722220495,5286.0,RURAL RD & SUPERSTITION FRWY,Tempe,Standard,-111.926697617792,33.3843722220495, , , 
531,1292,-111.927327696393,33.3817358010313,5268.0,RURAL RD & CARTER DR,Tempe,Standard,-111.927327696393,33.3817358010313, , , 
532,1293,-111.928685148039,33.379601761248104,5279.0,RURAL RD & MINTON DR,Tempe,Standard,-111.928685148039,33.379601761248104, , , 
533,1294,-111.928895400375,33.3776457978928,5264.0,RURAL RD & BASELINE RD,Tempe,Standard,-111.928895400375,33.3776457978928, , , 
534,1295,-111.92879527726299,33.3749333985297,5280.0,RURAL RD & OXFORD DR,Tempe,Standard,-111.92879527726299,33.3749333985297, , , 
535,1296,-111.92878833548599,33.3718179771309,5270.0,RURAL RD & CORNELL DR,Tempe,Standard,-111.92878833548599,33.3718179771309, , , 
